X var,Y var,MIC (strength),MIC-p^2 (nonlinearity),MAS (non-monotonicity),MEV (functionality),MCN (complexity),Linear regression (p)
"rate","amount",0.99838,0.69665563,0.025449991,0.99838,2.0,0.5492944
"rate","toCode",0.67098,0.61596006,0.07819998,0.67098,5.7548876,-0.23456322
"rate","Population",0.67098,0.37977752,0.42096996,0.63526,5.9068904,0.5396318
"rate","Birth_Rate",0.67098,0.58644086,0.42635998,0.67098,5.857981,-0.29075608
"rate","Avg_Life",0.67098,0.50507945,0.34284,0.67098,5.857981,0.4073089
"rate","Flat_Rates",0.67098,0.3793851,0.42698997,0.63526,5.9068904,0.53999525
"rate","City_Income",0.67098,0.35037625,0.33834997,0.67098,5.857981,0.5662188
"rate","Country_income",0.67098,0.37171608,0.14610001,0.67071,5.9068904,0.5470502
"rate","Green_Rate",0.67071,0.5773072,0.43221003,0.6685,5.9068904,0.30561876
"rate","GDP_PC",0.66989,0.4377749,0.33363,0.66989,5.857981,0.48178324
"rate","Disasters",0.66989,0.66419303,0.44456,0.63572,5.9068904,-0.075478196
"rate","Stu_Rate_H",0.66989,0.5540765,0.37543,0.63526,5.9068904,0.3403138
"rate","Flat_Rates_Change",0.63526,0.5426064,0.46588004,0.63526,5.5849624,-0.3043905
"rate","Low_Income_Insurance",0.62499,0.41366243,0.36892998,0.62499,5.70044,0.45970377
"rate","Low_Income",0.61332,0.56215674,0.42295998,0.58235,5.9068904,-0.226193
"rate","Price_Rates",0.37312,0.35729608,0.12850001,0.37312,5.0,-0.12579323
"rate","Unemploy_Rate",0.21025,0.15423268,0.11804,0.21025,5.4594316,-0.2366798
"rate","orgGDP",0.14091,0.14068884,0.09183,0.13716,5.9068904,-0.014871608
"rate","fromCode",0.13771,0.1340203,0.088630006,0.13416,5.9068904,0.060742937
