X var,Y var,MIC (strength),MIC-p^2 (nonlinearity),MAS (non-monotonicity),MEV (functionality),MCN (complexity),Linear regression (p)
"rate","amount",0.99838,0.69665563,0.025449991,0.99838,2.0,0.5492944
"rate","toCode",0.67098,0.61596006,0.07819998,0.67098,5.7548876,-0.23456322
"rate","Birth_Rate_14",0.67098,0.6107628,0.42778003,0.63526,5.9068904,-0.24539192
"rate","Birth_Rate_11",0.67098,0.58644086,0.42635998,0.67098,5.857981,-0.29075608
"rate","Avg_Life_14",0.67098,0.50507945,0.34284,0.67098,5.857981,0.4073089
"rate","Avg_Life_13",0.67098,0.50507945,0.34284,0.67098,5.857981,0.4073089
"rate","Avg_Life_12",0.67098,0.50507945,0.34284,0.67098,5.857981,0.4073089
"rate","Avg_Life_11",0.67098,0.50507945,0.34284,0.67098,5.857981,0.4073089
"rate","Avg_Life_10",0.67098,0.50507945,0.34284,0.67098,5.857981,0.4073089
"rate","GDP_PC_10",0.67098,0.41474706,0.28228998,0.67098,5.857981,0.50619453
"rate","City_Income_14",0.67098,0.38021988,0.42096996,0.63526,5.9068904,0.53922176
"rate","City_Income_13",0.67098,0.38746643,0.42096996,0.63526,5.9068904,0.5324599
"rate","City_Income_12",0.67098,0.3926744,0.42096996,0.63526,5.9068904,0.52754676
"rate","City_Income_11",0.67098,0.37977752,0.42096996,0.63526,5.9068904,0.5396318
"rate","City_Income_10",0.67098,0.40180865,0.42096996,0.63526,5.9068904,0.51881725
"rate","Green_Rate_14",0.67011,0.636976,0.50741,0.67011,5.857981,0.1820274
"rate","GDP_PC_14",0.66989,0.45904472,0.33363,0.66989,5.857981,0.4591789
"rate","GDP_PC_13",0.66989,0.4605575,0.33363,0.66989,5.857981,0.45752868
"rate","GDP_PC_12",0.66989,0.45653176,0.33332,0.66803,5.9068904,0.46190715
"rate","GDP_PC_11",0.66989,0.4377749,0.33363,0.66989,5.857981,0.48178324
"rate","Stu_Rate_H_14",0.66989,0.579747,0.36649004,0.66292,5.9068904,0.30023816
"rate","Stu_Rate_H_13",0.66989,0.5744526,0.42527,0.66165,5.9068904,0.30892947
"rate","Stu_Rate_H_12",0.66989,0.56618774,0.42527,0.66165,5.9068904,0.3220283
"rate","Stu_Rate_H_11",0.66989,0.5540765,0.37543,0.63526,5.9068904,0.3403138
"rate","Stu_Rate_H_10",0.66989,0.5045876,0.35966998,0.63526,5.9068904,0.40657395
"rate","Population_14",0.66936,0.66802907,0.43651998,0.63526,5.9068904,0.03648161
"rate","Population_13",0.66936,0.6680732,0.43651998,0.63526,5.9068904,0.035872262
"rate","Population_12",0.66936,0.6681668,0.486,0.63526,5.9068904,0.034542
"rate","Population_11",0.66936,0.668293,0.486,0.63526,5.9068904,0.03266454
"rate","Population_10",0.66936,0.6684482,0.486,0.63526,5.9068904,0.030195786
"rate","Country_income_14",0.66878,0.39178908,0.13342005,0.6685,5.9068904,0.5262993
"rate","Country_income_13",0.66878,0.39046475,0.13342005,0.6685,5.9068904,0.52755594
"rate","Country_income_12",0.66878,0.38898155,0.13342005,0.6685,5.9068904,0.5289598
"rate","Country_income_11",0.66878,0.38733456,0.13254005,0.6685,5.9068904,0.53051436
"rate","Country_income_10",0.66878,0.3855483,0.13409,0.6685,5.9068904,0.5321952
"rate","Low_Income_Insurance_14",0.62499,0.41366243,0.36892998,0.62499,5.70044,0.45970377
"rate","Low_Income_Insurance_13",0.62499,0.41366243,0.36892998,0.62499,5.70044,0.45970377
"rate","Low_Income_Insurance_12",0.62499,0.41366243,0.36892998,0.62499,5.70044,0.45970377
"rate","Low_Income_Insurance_11",0.62499,0.41366243,0.36892998,0.62499,5.70044,0.45970377
"rate","Low_Income_Insurance_10",0.62499,0.41366243,0.36892998,0.62499,5.70044,0.45970377
"rate","X",0.62499,0.41366243,0.36892998,0.62499,5.70044,0.45970377
"rate","Birth_Rate_13",0.61807,0.5609998,0.37962002,0.61807,5.807355,-0.23889375
"rate","Birth_Rate_12",0.61807,0.5814123,0.37962002,0.61807,5.807355,-0.19146195
"rate","Green_Rate_10",0.61807,0.58651173,0.43539,0.61807,5.857981,0.17764646
"rate","Green_Rate_12",0.61332,0.5812183,0.45997,0.6088,5.9068904,0.17916945
"rate","Low_Income_14",0.61332,0.56215674,0.42295998,0.58235,5.9068904,-0.226193
"rate","Low_Income_13",0.61332,0.56215674,0.42295998,0.58235,5.9068904,-0.226193
"rate","Low_Income_12",0.61332,0.56215674,0.42295998,0.58235,5.9068904,-0.226193
"rate","Low_Income_11",0.61332,0.56215674,0.42295998,0.58235,5.9068904,-0.226193
