procode,gbcode,q101a1,q101b1,q101c1,q101d1,q101e1,q101f1,q101g1,q101h1,q101i1,q101j1,q101k1,q101l1,q101m1,q101a2,q101a3,q101a4,q101a5,q101a6,q201,q202,q203,q204,q205,q206,q207,q208,q209,q211,q212,q213,q301,q302,q304,q305,q306,q307,q308,q309,q310,q311,q312,q313,q314,q315,q316
11,110101,1,1,196911,34,1,3,1,3,1,1,1,1997,1,2,3,3,3,-1,1997,1,6,41,6,2,30000,7,14,1,2,-1,200612,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11,110101,1,2,197012,41,1,2,1,2,1,1,1,2007,1,2,3,3,-1,-1,2007,1,6,41,5,3,3000,7,12,2,2,-1,199302,2,-1,-1,1,200101,3,1,2,0,3,3,2,3,1
11,110101,1,2,196710,34,1,2,1,2,5,1,1,2010,1,2,3,3,-1,-1,1995,4,-1,-1,-1,-1,-1,-1,-1,1,2,-1,198802,2,-1,-1,1,199504,2,1,2,0,2,2,2,4,1
11,110101,1,1,197709,41,1,3,1,2,1,1,1,2007,1,2,3,-1,-1,-1,1995,1,6,41,5,3,3000,7,15,2,2,-1,199910,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11,110101,1,2,199503,42,1,4,1,1,6,1,1,2005,2,5,5,-1,-1,-1,2005,3,-1,-1,-1,-1,-1,-1,-1,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11,110101,1,2,197809,51,1,3,1,2,1,1,1,1998,1,2,3,-1,-1,-1,1998,1,8,44,5,4,3000,7,13,2,2,-1,199605,1,2,-1,1,201005,7,2,7,0,2,2,2,4,1
11,110101,1,2,197610,21,1,6,2,2,1,1,1,2001,1,2,3,-1,-1,-1,1996,1,12,48,11,1,7000,5,9,5,1,2,200410,1,2,-1,1,200709,7,2,6,0,3,3,2,3,1
11,110101,1,2,197710,35,1,3,1,2,1,1,1,2006,1,2,3,3,-1,-1,2006,1,6,41,5,3,2000,7,10,1,2,-1,200202,2,-1,-1,1,200704,2,1,2,0,2,2,2,4,1
11,110101,1,2,197805,13,1,5,2,2,5,1,1,2008,1,2,3,-1,-1,-1,2008,4,-1,-1,-1,-1,-1,-1,-1,2,2,-1,200310,1,2,-1,1,200408,7,2,7,1,2,2,2,3,1
11,110101,1,2,197407,37,1,3,1,2,1,1,1,1995,1,2,3,-1,-1,-1,1995,1,6,41,5,3,2000,7,13,5,2,-1,199912,1,2,-1,1,200003,3,1,1,0,1,1,1,1,1
11,110101,1,2,197102,41,1,2,1,2,1,1,1,1992,1,2,3,-1,-1,-1,1992,1,6,41,5,3,2500,7,12,2,2,-1,199304,1,2,-1,1,199801,3,1,2,0,3,3,2,3,1
11,110101,1,1,197404,15,1,6,2,2,1,1,1,2004,1,2,3,-1,-1,-1,2001,1,15,48,6,1,5000,5,8,2,1,2,199809,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11,110101,1,1,198108,13,1,4,1,2,1,1,1,2002,1,2,3,-1,-1,-1,2002,1,10,62,6,1,6500,6,14,2,2,-1,200411,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11,110101,1,2,195410,46,1,4,1,2,4,1,1,2000,3,2,3,3,3,3,2000,3,-1,-1,-1,-1,-1,-1,-1,5,2,-1,197605,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11,110101,1,2,198403,35,1,3,1,2,5,1,1,2007,2,2,3,3,-1,-1,2007,4,-1,-1,-1,-1,-1,-1,-1,2,2,-1,200702,2,-1,-1,1,201109,7,2,7,0,2,2,2,4,1
11,110101,1,1,198809,41,1,3,1,1,1,1,1,2002,1,-1,-1,-1,-1,-1,2002,1,8,48,2,1,1700,7,8,4,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11,110101,1,1,196609,34,1,4,1,2,1,1,1,1999,1,2,3,-1,-1,-1,1999,1,8,48,6,1,2300,4,12,1,1,1,198902,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11,110101,1,1,197003,14,1,4,1,2,1,1,1,1996,1,2,3,3,-1,-1,1996,1,4,41,6,3,5000,6,12,2,2,-1,199705,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11,110101,1,1,197610,34,1,3,1,2,1,1,1,2001,1,2,3,-1,-1,-1,1994,1,6,41,5,3,3000,7,12,2,2,-1,200002,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11,110101,1,1,197301,13,1,3,1,2,1,1,1,1993,1,2,3,3,-1,-1,1993,1,6,41,5,3,2500,7,7,2,2,-1,199312,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11,110101,1,2,197108,41,1,4,2,2,1,1,1,1998,1,2,3,-1,-1,-1,1998,1,8,48,5,3,2000,5,12,2,2,-1,199901,1,2,-1,1,200005,7,2,1,0,2,2,2,4,1
11,110101,1,1,196808,14,1,3,1,2,1,1,1,2008,1,2,3,3,3,-1,2006,1,7,43,5,3,3500,7,12,6,2,-1,198803,3,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11,110101,1,1,198804,12,1,5,2,1,3,1,1,2010,1,-1,-1,-1,-1,-1,2010,2,-1,-1,-1,-1,-1,-1,-1,5,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11,110101,1,2,197302,52,4,3,1,2,1,1,1,2004,1,2,-1,-1,-1,-1,2004,1,6,43,5,3,2100,5,12,6,2,-1,200403,0,-1,-1,1,-9,7,2,1,0,1,2,2,2,1
11,110101,1,1,196601,13,1,4,1,2,1,1,1,2005,1,2,3,3,-1,-1,2005,1,6,41,5,3,3000,5,8,6,2,-1,199111,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11,110101,1,2,198311,51,1,7,1,1,1,1,1,2002,1,-1,-1,-1,-1,-1,2002,1,6,42,5,3,3600,6,10,6,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11,110101,1,2,197304,21,1,6,2,2,5,1,1,2008,1,2,-1,-1,-1,-1,2008,4,-1,-1,-1,-1,-1,-1,-1,7,2,-1,201006,0,-1,-1,2,-1,-1,-1,-1,1,2,2,2,4,1
11,110101,1,1,198110,37,1,4,1,2,1,1,1,2009,1,2,-1,-1,-1,-1,2009,1,6,42,5,3,2500,6,12,6,2,-1,200704,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11,110101,1,2,197010,13,1,6,2,1,3,1,1,2004,1,-1,-1,-1,-1,-1,2004,2,-1,-1,-1,-1,-1,-1,-1,5,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11,110101,1,1,198102,13,1,6,1,1,1,1,1,1999,1,-1,-1,-1,-1,-1,1999,1,6,42,5,3,3600,6,10,6,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11,110101,1,2,197012,15,4,5,1,2,5,1,1,2004,1,2,-1,-1,-1,-1,2004,4,-1,-1,-1,-1,-1,-1,-1,6,2,-1,200906,0,-1,-1,2,-1,-1,-1,-1,0,2,2,2,4,2
11,110101,1,1,196402,34,1,3,1,4,1,1,1,2005,1,-1,-1,-1,-1,-1,2005,1,7,43,6,1,2500,6,14,4,2,-1,199001,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11,110101,1,2,197312,34,1,6,1,1,1,1,1,2008,1,-1,-1,-1,-1,-1,2008,1,6,42,5,4,2800,6,10,6,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11,110101,1,2,197310,13,1,4,1,2,1,1,1,2005,1,2,-1,-1,-1,-1,2005,1,6,42,5,3,2900,5,14,6,2,-1,200001,0,-1,-1,1,-9,7,3,1,0,2,2,2,4,2
11,110101,1,1,197410,51,1,3,1,2,1,1,1,2009,1,2,-1,-1,-1,-1,2009,1,6,42,5,3,3500,6,10,6,2,-1,200202,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11,110101,1,2,197103,41,1,4,2,1,1,1,1,2000,1,-1,-1,-1,-1,-1,2000,1,7,43,6,1,2800,5,12,6,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11,110101,1,1,197804,22,1,7,2,2,1,1,1,1997,1,2,3,-1,-1,-1,1997,1,12,20,10,1,10100,5,8,7,1,1,200412,1,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11,110101,1,1,197911,41,1,5,2,4,3,1,1,2006,1,-1,-1,-1,-1,-1,2006,2,-1,-1,-1,-1,-1,-1,-1,7,1,2,200403,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11,110101,1,1,197903,21,3,6,2,1,3,1,1,2003,1,-1,-1,-1,-1,-1,2003,2,-1,-1,-1,-1,-1,-1,-1,5,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11,110101,1,1,197009,34,1,5,2,2,1,1,1,2002,1,2,-1,-1,-1,-1,2002,1,8,48,5,3,4000,6,12,6,2,-1,200608,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11,110101,1,1,195806,13,3,4,1,2,1,1,1,2004,1,2,3,3,-1,-1,1994,1,13,48,6,1,1800,7,16,4,2,-1,198203,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11,110101,1,1,198605,14,1,4,1,1,1,1,1,2006,1,-1,-1,-1,-1,-1,2006,1,8,46,10,1,2000,5,8,4,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11,110101,1,1,198410,13,1,3,1,1,1,1,1,2006,1,-1,-1,-1,-1,-1,2006,1,8,46,10,1,2000,5,8,4,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11,110101,1,2,197907,41,1,3,1,2,1,1,1,2005,1,2,3,3,-1,-1,2002,1,6,41,5,3,3000,7,12,2,2,-1,200112,2,-1,-1,1,201110,7,3,1,0,1,1,2,4,1
11,110101,1,2,197912,23,1,5,2,2,1,1,1,1999,1,2,3,3,3,-1,1996,1,6,10,5,2,5000,7,5,2,2,-1,200106,3,-1,-1,1,200912,3,2,2,0,2,2,2,4,1
11,110101,1,2,196311,62,1,3,2,2,1,1,1,2007,1,2,3,3,-1,-1,2007,1,8,44,12,3,2000,7,8,6,2,-1,198601,2,-1,-1,1,198912,2,1,1,0,2,2,2,4,2
11,110101,1,1,197304,41,1,3,1,2,1,1,1,2003,1,2,3,-1,-1,-1,2003,1,7,43,10,1,1800,5,8,4,1,2,200105,1,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11,110101,1,1,198701,37,1,4,1,2,1,1,1,2004,1,2,3,-1,-1,-1,2002,1,7,46,6,1,2800,6,8,2,2,-1,201111,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11,110101,1,1,199205,42,1,3,1,1,1,1,1,2011,1,7,-1,-1,-1,-1,2011,1,8,46,3,1,2600,5,8,2,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11,110101,1,2,198709,13,1,3,1,1,1,1,1,2010,1,10,-1,-1,-1,-1,2010,1,7,43,10,1,2200,5,9,2,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11,110101,1,2,198609,13,1,3,1,1,1,1,1,2011,1,-1,-1,-1,-1,-1,2008,1,7,43,6,1,2500,5,10,2,1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11,110101,1,1,197908,37,1,6,2,2,1,1,1,2001,1,2,3,-1,-1,-1,1999,1,15,10,6,2,7000,5,10,2,1,3,200405,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11,110101,1,2,197410,41,1,3,1,2,1,1,1,1995,1,2,3,3,-1,-1,1995,1,6,41,6,1,2000,6,9,2,2,-1,199512,2,-1,-1,1,200711,6,2,5,0,2,2,2,4,1
11,110101,1,1,197707,15,1,3,1,1,1,1,1,2010,1,-1,-1,-1,-1,-1,1998,1,6,42,5,3,4000,7,12,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11,110101,1,1,198601,41,1,4,1,1,1,1,1,2006,1,-1,-1,-1,-1,-1,2006,1,8,48,10,1,4000,5,8,4,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11,110101,1,2,197105,13,1,3,1,2,1,1,1,2000,1,2,3,-1,-1,-1,2000,1,8,45,6,1,1600,6,8,4,1,1,199410,1,1,2,1,199507,3,1,2,0,2,2,1,1,1
11,110101,1,2,199004,41,1,3,1,1,1,1,1,2009,1,-1,-1,-1,-1,-1,2009,1,8,48,6,1,2000,5,8,4,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11,110101,1,2,199203,13,1,4,1,1,1,1,1,2008,1,-1,-1,-1,-1,-1,2008,1,8,48,6,1,2000,5,8,4,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11,110101,1,1,199008,37,1,3,1,1,1,1,1,2009,1,-1,-1,-1,-1,-1,2009,1,8,48,6,1,3000,7,10,4,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11,110101,1,2,197310,13,1,3,1,2,1,1,1,1996,1,2,3,-1,-1,-1,1996,1,6,41,5,1,1800,7,10,2,2,-1,199608,1,2,-1,1,199801,3,2,2,0,2,2,2,4,1
11,110102,1,1,196605,22,1,2,2,2,4,1,1,2011,1,2,3,-1,-1,-1,2011,3,-1,-1,-1,-1,-1,-1,-1,2,2,-1,198807,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11,110102,1,1,198002,23,1,6,2,2,1,1,1,2011,1,2,3,-1,-1,-1,2005,1,13,20,6,1,5000,5,9,7,1,3,200606,1,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11,110102,1,2,199005,13,1,4,1,1,1,1,1,2011,1,-1,-1,-1,-1,-1,2011,1,11,48,2,1,2000,7,8,2,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11,110102,1,2,197703,12,1,8,2,2,1,1,1,2004,2,2,3,3,-1,-1,1998,1,9,20,3,1,15000,5,8,7,1,3,200611,2,-1,-1,1,201203,7,2,6,0,3,3,2,4,2
11,110102,1,1,197707,65,1,4,2,2,1,1,1,2009,1,2,3,-1,-1,-1,2009,1,6,41,6,1,5000,5,8,7,1,3,200702,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11,110102,1,1,199302,41,1,3,1,1,1,1,1,2011,1,-1,-1,-1,-1,-1,2011,1,6,62,5,1,1500,5,8,5,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11,110102,1,2,196304,62,1,7,2,2,1,1,1,1997,2,2,3,-1,-1,-1,1997,1,7,43,5,3,5000,7,12,2,2,-1,199110,1,2,-1,2,-1,-1,-1,-1,0,2,2,2,3,2
11,110102,1,2,198610,42,1,3,1,1,1,1,1,2011,1,-1,-1,-1,-1,-1,2011,1,6,48,6,1,2000,6,9,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11,110102,1,2,198410,13,1,7,2,2,1,1,1,2008,1,2,3,-1,-1,-1,2008,1,13,48,10,1,6000,5,8,7,1,1,201004,1,1,2,1,201103,7,2,6,0,1,3,1,1,1
11,110102,1,2,197401,41,1,3,1,2,1,1,1,2003,1,2,3,-1,-1,-1,2003,1,6,48,6,1,2000,6,10,2,1,1,200212,1,2,-1,1,200407,3,2,2,0,3,2,1,1,1
11,110102,1,2,198212,22,1,3,1,1,1,1,1,2000,1,-1,-1,-1,-1,-1,2000,1,11,48,2,1,2000,7,8,2,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11,110102,1,2,199601,13,1,3,1,1,1,1,1,2011,1,-1,-1,-1,-1,-1,2011,1,11,48,2,1,2000,7,8,2,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11,110102,1,2,197110,34,1,3,1,2,1,1,1,1990,1,2,3,-1,-1,-1,1990,1,7,43,3,1,1100,7,10,6,1,1,199707,1,1,2,1,200011,3,2,2,0,2,2,1,1,2
11,110102,1,2,199411,13,1,3,1,1,1,1,1,2011,1,-1,-1,-1,-1,-1,2011,1,11,48,2,1,2000,7,8,2,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11,110102,1,1,197305,41,1,4,1,2,1,1,1,2008,1,2,3,3,-1,-1,1989,1,6,42,5,3,2000,7,16,2,2,-1,199304,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11,110102,1,1,198705,14,1,3,1,1,1,1,1,2011,2,-1,-1,-1,-1,-1,2006,1,8,48,5,1,2050,6.5,12,4,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11,110102,1,2,197904,22,1,5,2,2,1,1,1,1998,1,2,3,-1,-1,-1,1998,1,1,20,5,2,4000,7,8,7,1,1,200210,1,2,-1,2,-1,-1,-1,-1,0,3,3,3,3,1
11,110102,1,2,198003,34,1,3,1,2,1,1,1,2011,1,2,3,3,-1,-1,2010,1,6,48,5,3,2000,7,12,2,1,1,200612,2,-1,-1,1,201203,7,2,6,0,3,3,3,3,1
11,110102,1,2,198811,62,1,3,1,2,1,1,1,2011,1,2,3,-1,-1,-1,2011,1,11,48,2,1,2000,7,8,2,1,1,201003,1,2,-1,2,-1,-1,-1,-1,0,2,2,2,3,2
11,110102,1,1,198406,14,1,6,2,2,1,1,1,2010,1,2,3,-1,-1,-1,2010,1,6,30,3,3,15000,5,8,5,1,2,200812,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11,110102,1,2,196507,41,1,1,1,3,1,1,1,2008,1,2,3,3,-1,-1,2008,1,7,43,2,1,1700,7,8,4,1,3,198608,2,-1,-1,1,199610,2,1,2,0,2,2,2,3,1
11,110102,1,1,197906,15,1,5,2,1,1,1,1,2000,1,-1,-1,-1,-1,-1,2000,1,7,43,2,1,1400,7,8,4,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11,110102,1,2,198609,13,1,5,1,1,1,1,1,2007,1,-1,-1,-1,-1,-1,2007,1,7,48,2,1,1400,7,8,4,1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11,110102,1,2,199311,37,1,4,1,1,1,1,1,2010,1,-1,-1,-1,-1,-1,2010,1,7,48,2,1,1900,7,8,6,1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11,110102,1,2,198304,23,1,5,2,1,1,1,1,1999,1,-1,-1,-1,-1,-1,1999,1,7,48,2,1,1500,6,8,4,1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11,110102,1,1,196302,13,1,4,1,2,1,1,1,2011,1,2,3,-1,-1,-1,2008,1,7,43,2,1,3000,6,8,4,2,-1,198508,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11,110102,1,2,196712,37,1,3,1,2,1,1,1,1994,1,2,3,-1,-1,-1,1994,1,7,48,2,1,3000,7,8,6,1,1,198912,1,1,2,1,199110,7,2,1,0,1,2,1,2,1
11,110102,1,2,199211,13,1,3,1,1,1,1,1,2008,1,-1,-1,-1,-1,-1,2008,1,7,48,2,1,1400,7,8,4,1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11,110102,1,2,199010,37,1,3,1,2,1,1,1,2008,1,2,-1,-1,-1,-1,2008,1,7,48,2,1,1900,7,8,4,1,2,201108,0,-1,-1,2,-1,-1,-1,-1,0,3,3,2,1,1
11,110102,1,1,197812,61,1,4,1,2,1,1,1,2000,1,2,3,-1,-1,-1,1998,1,7,43,2,1,2700,7,8,4,1,3,200304,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11,110102,1,1,198510,13,1,3,1,2,1,1,1,2011,1,2,3,-1,-1,-1,2005,1,7,43,2,1,2400,6,8,6,2,-1,200711,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11,110102,1,1,198909,37,1,4,1,2,1,1,1,2007,1,2,-1,-1,-1,-1,2006,1,7,48,2,1,1900,7,8,1,1,3,200808,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11,110102,1,1,198711,34,1,4,1,1,1,1,1,2008,1,-1,-1,-1,-1,-1,2008,1,7,48,2,1,1400,7,8,6,1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11,110102,1,1,197002,13,1,4,1,2,1,1,1,1990,1,2,3,3,-1,-1,1990,1,7,48,2,1,2500,7,8,5,1,3,199110,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11,110102,1,1,199306,13,1,3,1,1,1,1,1,2012,1,-1,-1,-1,-1,-1,2012,1,7,46,2,1,3200,7,8,4,1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11,110102,1,1,199204,13,1,4,2,1,1,1,1,2011,1,-1,-1,-1,-1,-1,2011,1,7,46,2,1,2800,7,8,4,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11,110102,1,2,199210,13,1,5,2,1,1,1,1,2009,1,-1,-1,-1,-1,-1,2009,1,7,48,2,1,1500,7,8,4,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11,110102,1,2,199001,14,1,3,1,1,1,1,1,2007,1,-1,-1,-1,-1,-1,2007,1,15,70,12,1,1500,7,8,4,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
